symbol,h,r2,lo,hi,beta,t,p,pred_move,half_spread,n_test,significant,tradeable
AAPL,1,0.0008088600744636798,-0.000302678071133744,0.0020955150188730364,3.342687840157238e-07,2.1218006385055315,0.03385448301306168,0.002150685356357167,0.017125,4173,False,False
AAPL,2,0.0008130678153198678,-0.00012416526191533773,0.0017676419899443712,3.503095271442939e-07,2.5865665554942456,0.009693744740079616,0.0022542418071735313,0.017125,4170,True,False
AAPL,3,0.0006528614562388846,6.30146446396862e-05,0.0012467073971662882,3.4150897749691134e-07,2.5432220883274312,0.010983539224471544,0.0021976102701926244,0.017125,4167,True,False
AAPL,5,0.00014023353597214516,3.384634441809254e-05,0.0002447169149553535,8.115295363048283e-08,2.6950909626632957,0.007036941765068462,0.0005197035150496121,0.01713,4161,True,False
AAPL,10,-0.0004833011198792647,-0.0007732832226633402,-0.00017445771519732922,-3.0008013669661857e-07,3.4143439370291575,0.0006393581007123155,0.0019139111118510333,0.017142499999999998,4146,True,False
AAPL,20,-0.0005608337885085746,-0.0008939896930000635,-0.00020811255980796047,-4.947524991690322e-07,3.491730784526852,0.00047990168099737906,0.003155531439700087,0.0171875,4116,True,False
AMZN,1,0.0003547408279535036,-0.008317427779063335,0.007998391648116939,2.1313099059034647e-05,0.957782410938546,0.33817249034855984,0.06633702082124535,0.28869750000000005,1372,False,False
AMZN,2,-0.0003797318914446901,-0.008402155734064387,0.005487211335873853,2.3107419574161206e-05,0.37551980812416835,0.7072739177501826,0.07184096745606719,0.28903500000000004,1369,False,False
AMZN,3,0.00047297831904113963,-0.0035484879071669972,0.0034276967210520692,1.7143802910183555e-05,0.8209216661770953,0.41169088900036366,0.05332579895212595,0.28966000000000003,1366,False,False
AMZN,5,6.290941079056811e-05,-0.0031970517182057898,0.0020114108122004726,1.4206611820724975e-05,0.319637496475311,0.749243146289891,0.0441612528447236,0.29064500000000004,1360,False,False
AMZN,10,2.52887446668959e-05,-0.0013156290184760278,0.002164819917969185,-1.347154378837984e-05,-0.20931541726925207,0.8342020171021435,0.0419099727256497,0.29224,1345,False,False
